번호,한자,후리가나,뜻,품사,등록일자
1,,おいしい,맛있다,형용사,230221
2,,うれしい,기쁘다,형용사,230221
3,,あたたかい,따뜻하다,형용사,230221
4,,さむい,춥다,형용사,230221
5,,あつい,덥다,형용사,230221
6,,たのしい,즐겁다,형용사,230221
7,,おもしろい,재미있다,형용사,230221
8,,いい,좋다,형용사,230221
9,,よい,좋다,형용사,230221
10,,むずかしい,어렵다,형용사,230221
11,,やさしい,자상하다,형용사,230221
12,,たかい,"비싸다"", ""높다",형용사,230221
13,,やすい,싸다,형용사,230221
14,,あまい,달다,형용사,230221
15,,せまい,좁다,형용사,230221
16,,きたない,더럽다,형용사,230221
17,,ひろい,넓다,형용사,230221
18,,まずい,맛없다,형용사,230221
19,,ながい,길다,형용사,230221
20,,つよい,"세다"", ""강하다",형용사,230221
